Epoch,Type,Metric,Algorithm,Value
25,Test set,Average loss,Adamax,0.369
25,Test set,Accuracy,Adamax,89.0
26,Train set,Average loss,Adamax,0.0618
26,Train set,Accuracy,Adamax,95.0
26,Test set,Average loss,Adamax,0.5759
26,Test set,Accuracy,Adamax,89.0
27,Train set,Average loss,Adamax,0.0694
27,Train set,Accuracy,Adamax,95.0
27,Test set,Average loss,Adamax,0.3374
27,Test set,Accuracy,Adamax,89.0
28,Train set,Average loss,Adamax,0.1201
28,Train set,Accuracy,Adamax,95.0
28,Test set,Average loss,Adamax,0.647
28,Test set,Accuracy,Adamax,89.0
29,Train set,Average loss,Adamax,0.2163
29,Train set,Accuracy,Adamax,95.0
29,Test set,Average loss,Adamax,0.4423
29,Test set,Accuracy,Adamax,89.0
30,Train set,Average loss,Adamax,0.2752
30,Train set,Accuracy,Adamax,95.0
30,Test set,Average loss,Adamax,0.4469
30,Test set,Accuracy,Adamax,89.0
1,Train set,Average loss,ASGD,0.4623
1,Train set,Accuracy,ASGD,72.0
1,Test set,Average loss,ASGD,0.5608
1,Test set,Accuracy,ASGD,80.0
2,Train set,Average loss,ASGD,0.5463
2,Train set,Accuracy,ASGD,82.0
2,Test set,Average loss,ASGD,0.4753
2,Test set,Accuracy,ASGD,82.0
3,Train set,Average loss,ASGD,0.5583
3,Train set,Accuracy,ASGD,84.0
3,Test set,Average loss,ASGD,0.4389
3,Test set,Accuracy,ASGD,83.0
4,Train set,Average loss,ASGD,0.5859
4,Train set,Accuracy,ASGD,85.0
4,Test set,Average loss,ASGD,0.4686
4,Test set,Accuracy,ASGD,83.0
5,Train set,Average loss,ASGD,0.3366
5,Train set,Accuracy,ASGD,86.0
5,Test set,Average loss,ASGD,0.3908
5,Test set,Accuracy,ASGD,84.0
6,Train set,Average loss,ASGD,0.3277
6,Train set,Accuracy,ASGD,87.0
6,Test set,Average loss,ASGD,0.3943
6,Test set,Accuracy,ASGD,85.0
7,Train set,Average loss,ASGD,0.2065
7,Train set,Accuracy,ASGD,87.0
7,Test set,Average loss,ASGD,0.3511
7,Test set,Accuracy,ASGD,86.0
8,Train set,Average loss,ASGD,0.3518
8,Train set,Accuracy,ASGD,87.0
8,Test set,Average loss,ASGD,0.3826
8,Test set,Accuracy,ASGD,85.0
9,Train set,Average loss,ASGD,0.4395
9,Train set,Accuracy,ASGD,88.0
9,Test set,Average loss,ASGD,0.3579
9,Test set,Accuracy,ASGD,86.0
10,Train set,Average loss,ASGD,0.2626
10,Train set,Accuracy,ASGD,88.0
